Unnamed: 0,Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
540,Nike Dunk Low,55.0,NIKE,"BLANC, TURQUOISE",39,https://www.vinted.fr/items/3876324319-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/03_018cd_DZgPb613hNkEQDoqFKVJKkzp/310x430/1702405097.jpeg?s=ac0c4735991373ec467d296b9fb99278dc8c1a88,"MOUTIERS-LES-MAUXFAITS, FRANCE",Women
541,Nike dunk low,55.0,NIKE,"ORANGE, KAKI",41,https://www.vinted.fr/items/3870609317-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_0038b_bsWJfxkiK1UHQnfjAE8TJAMb/310x430/1702289440.jpeg?s=3695fce0d5b9fa676ff2fafd4cb6257f27c1f8f2,"TORRE DEL GRECO, ITALIE",Women
542,Nike dunk SE,105.0,NIKE,"BEIGE, ROSE",38.5,https://www.vinted.fr/items/3868628334-nike-dunk-se?referrer=catalog,https://images1.vinted.net/t/01_01e68_UdKtStzoukmWa1B9RrVCzgaQ/310x430/1702230782.jpeg?s=74739f9ae9e4efba2cd535387452365755be0f0c,"LOON-PLAGE, FRANCE",Women
543,Dunk rose ,80.0,NIKE,"ROSE, ROSE",36.5,https://www.vinted.fr/items/3873358011-dunk-rose?referrer=catalog,https://images1.vinted.net/t/02_021df_h9LRvsNxgv1KHSzFxLEuUMsu/310x430/1702327557.jpeg?s=b3ff73eb797baee43471b7407fb04ae0c4a5f5b6,"NOJEON-EN-VEXIN, FRANCE",Women
544,Nike dunk ,130.0,NIKE,"NOIR, BLANC",37.5,https://www.vinted.fr/items/3878164651-nike-dunk?referrer=catalog,https://images1.vinted.net/t/02_00a46_iDjeq353U55gZTEAza73AiZD/310x430/1702467884.jpeg?s=48b87af25e2345ecd03d3d0bb2e39a07494ab71a,"NAPOLI, ITALIE",Women
545,Nike Dunk Bordeaux ,130.0,NIKE,"BLANC, BORDEAUX",39,https://www.vinted.fr/items/3888125357-nike-dunk-bordeaux?referrer=catalog,https://images1.vinted.net/t/02_0068e_48M42fVUYdZk3nH9wmhZpw8Q/310x430/1702743001.jpeg?s=7dfce8831dd54c59ad98e3d4dd32d1623824a99a,"SAINT-THIBAULT-DES-VIGNES, FRANCE",Women
546,Dunk low SB,50.0,NIKE,BLANC,38,https://www.vinted.fr/items/3885352534-dunk-low-sb?referrer=catalog,https://images1.vinted.net/t/01_022cc_RgnNpBZpjckh6vnRVSv5VkFg/310x430/1702657922.jpeg?s=c0911286fc9302b50f3e7efffcaedaafd46a4a0b,FRANCE,Women
547,Dunk mid ,70.0,NIKE,"NOIR, ORANGE",39,https://www.vinted.fr/items/3866356174-dunk-mid?referrer=catalog,https://images1.vinted.net/t/03_0019c_8Ms7Qyhb9jKj7zUacKbUZpGB/310x430/1702210000.jpeg?s=1257b41bde5a1e89a0c57a644fbe15a8051830b3,"GOUSSAINVILLE, FRANCE",Women
548,Nike dunk whisper,120.0,NIKE,"BEIGE, ABRICOT",38,https://www.vinted.fr/items/3888992058-nike-dunk-whisper?referrer=catalog,https://images1.vinted.net/t/03_015dd_HMRAreY33vgPexpT4jDuMxHB/310x430/1702762591.jpeg?s=bdd26886d3c92bd05e79be82d1fe918ec6f3c465,"BAGNOLET, FRANCE",Women
549,Nike Dunk Low Venice,210.0,NIKE,BLANC,41,https://www.vinted.fr/items/3887665530-nike-dunk-low-venice?referrer=catalog,https://images1.vinted.net/t/02_01030_j6atWJyeRE4AQYYQWeVm3xCW/310x430/1702735710.jpeg?s=8b954893f3fa9a03589b7a70856178df4639c949,"LE MANS, FRANCE",Women
