Unnamed: 0,Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
37,Nike dunk high retro prenium cracked leather swoosh,55.0,NIKE,"BLANC, BEIGE","42,5",https://www.vinted.fr/items/3882655352-nike-dunk-high-retro-prenium-cracked-leather-swoosh?referrer=catalog,https://images1.vinted.net/t/01_00898_fygkcyVukB6819JqejY99jTk/310x430/1702574450.jpeg?s=efd697ba3d83548ac33162b906f6f6e57dbafe98,"ANDRÉZIEUX-BOUTHÉON, FRANCE",Men
38,Nike Dunk retro university ,89.0,NIKE,"NOIR, ORANGE","47,5",https://www.vinted.fr/items/3891824579-nike-dunk-retro-university?referrer=catalog,https://images1.vinted.net/t/02_00316_iPnaFV5PmeecoeELQ6jpiBD9/310x430/1702837168.jpeg?s=3155fece264954aa725eca8b341ff57950343260,"PARIS, FRANCE",Men
39,Nike Dunk Low,45.0,NIKE,"NOIR, BLANC","40,5",https://www.vinted.fr/items/3884988421-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/02_00e08_wt2petVv8BGX6t3d7XFzVtHE/310x430/1702650767.jpeg?s=9508449c18e755db99dd1b1c190e6751ac5dfde9,"BARCELONA, ESPAGNE",Men
40,Nike Dunk Low taille 44,49.0,NIKE,"NOIR, BLANC",44,https://www.vinted.fr/items/3881735030-nike-dunk-low-taille-44?referrer=catalog,https://images1.vinted.net/t/02_00bb3_D5c1Cn32W4xXbKZ1Xc8BEQtz/310x430/1702558686.jpeg?s=c0f99d5f4319458d7b16f2ee21c07da8df705703,"BÉTHENY, FRANCE",Men
41,Nike Dunk Low SB 41,60.0,NIKE,"NOIR, GRIS",41,https://www.vinted.fr/items/3882875123-nike-dunk-low-sb-41?referrer=catalog,https://images1.vinted.net/t/01_01b8d_cHpSMdQbnB8hFRgdi41ipXYi/310x430/1702578520.jpeg?s=b24880ee2b80de4921e0de635069da1e3d9eebbe,"A CORUÑA, ESPAGNE",Men
42,Dunk Nike montante ,50.0,NIKE,"NOIR, BLEU","42,5",https://www.vinted.fr/items/3882275088-dunk-nike-montante?referrer=catalog,https://images1.vinted.net/t/03_019b0_Se9E86XgyRgQpTicWudQc5Da/310x430/1702567527.jpeg?s=0bdd0c0b7eb897687001874b216f3cb259206a6b,FRANCE,Men
43,Nike Dunk Low ,57.5,NIKE,"NOIR, BORDEAUX",42,https://www.vinted.fr/items/3889711486-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_023ab_9TQXRQCXkVTuYxCAafht3BpY/310x430/1702808970.jpeg?s=e1f4984f1c5940d06d804f6d40de72529b24510c,FRANCE,Men
44,Nike SB Dunk OG Panda,50.0,NIKE,"NOIR, BLANC",43,https://www.vinted.fr/items/3883393505-nike-sb-dunk-og-panda?referrer=catalog,https://images1.vinted.net/t/03_005e2_D7oLU4oMKoMw1cQxFCsbGgSc/310x430/1702588572.jpeg?s=c1829b89a686dc8309d24c9f5c4ffec8864b03fb,"TILBURG, PAYS-BAS",Men
45,Baskets Nike dunk low,45.0,NIKE,NOIR,43,https://www.vinted.fr/items/3890376941-baskets-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/02_012fe_m5GmRezxLsnkGDmi2w3aF6Y6/310x430/1702817804.jpeg?s=14b81e77abacfb1e62ea5a106c43eff177062b6b,"AUBERGENVILLE, FRANCE",Men
46,Nike dunk high bttys stadium green white,80.0,NIKE,"BLANC, VERT","45,5",https://www.vinted.fr/items/3882823290-nike-dunk-high-bttys-stadium-green-white?referrer=catalog,https://images1.vinted.net/t/02_026f5_Tuo3DdGp738vHX4nurpmcQhJ/310x430/1702577539.jpeg?s=49b90389fe1a10a836ce48aa6ead8b1f9766397e,"SIX-FOURS-LES-PLAGES, FRANCE",Men
