Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender,Approximate Carbon Footprint (kg CO2),Approximative Carbon Print from Ordering on Nike (kg CO2/ton),Carbon Profit (kg CO2),Average price of the product on Nike,Profit Made
Lot 4 paires de chaussures bébé ,10.0,NIKE,"BLEU, MULTICOLORE",17,https://www.vinted.fr/items/3817559524-lot-4-paires-de-chaussures-bebe?referrer=catalog,https://images1.vinted.net/t/02_00eed_dT6jJmmAy2WThw5iFzkepPf5/310x430/1701101981.jpeg?s=eda10e541ef6226252a41fe09b0ee856a1fe5f53,"ÉCOUVES, FRANCE",Kid,33.92041409798098,405,371.079585902019,117.33137931034476,107.33137931034476
Baskets nike,10.0,NIKE,BLANC,18,https://www.vinted.fr/items/3767571181-baskets-nike?referrer=catalog,https://images1.vinted.net/t/02_01bcf_S1uRcfHqrqLB36fevj2TUygp/310x430/1700141771.jpeg?s=360eeda4fdc4d95ae2d6b43738814848f6b6444f,"FAREMOUTIERS, FRANCE",Kid,9.56901942762952,405,395.43098057237046,117.33137931034476,107.33137931034476
Nike Air Force 1 ,10.0,NIKE,"NOIR, BLANC","38,5",https://www.vinted.fr/items/3429149487-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_005b1_6tyTfTamVzKbS7hUXHbkCa3Y/310x430/1693742499.jpeg?s=188e74ac87db1f2055e09c72e0b4b5865ec1eaf5,"MEDICINA, ITALIE",Men,172.09793855614907,405,232.90206144385093,117.33137931034476,107.33137931034476
Chaussons Air Force 1,11.0,NIKE,"GRIS, BLANC",18,https://www.vinted.fr/items/3725917934-chaussons-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_021eb_XNirKNKhiGe7pcbA2o12Yu3o/310x430/1699361860.jpeg?s=4771eba20745e4b7ce68dee25a5421803d8b7a4b,FRANCE,Kid,50.58615778249138,405,354.4138422175086,117.33137931034476,106.33137931034476
Baskets Nike Air Force 1 ,11.0,NIKE,BLANC,26,https://www.vinted.fr/items/3555651451-baskets-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_01db1_E7ViGNAi3EwuZf51GSVY3TqB/310x430/1696312170.jpeg?s=15a1835bcf84a5461b66bf69bb9594e8db730fea,"LA BUISSE, FRANCE",Kid,92.7128000030204,405,312.2871999969796,117.33137931034476,106.33137931034476
Air Force 1,12.0,NIKE,"NOIR, ROUGE",19,https://www.vinted.fr/items/3550870915-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_005b9_KN4quWnJz8kn14MUiE4oCYBt/310x430/1696191203.jpeg?s=34e01e0abf0ee287a09ee0d3d57fe799535c4d27,"ARGENTEUIL, FRANCE",Kid,2.5397951808258625,405,402.4602048191741,117.33137931034476,105.33137931034476
Basket Nike Air force 1 noire,12.0,NIKE,NOIR,22,https://www.vinted.fr/items/3871152759-basket-nike-air-force-1-noire?referrer=catalog,https://images1.vinted.net/t/02_00dd0_8Yj34s1gBxbeCME5xUofUseb/310x430/1702297255.jpeg?s=aa7bbf360746176e74b9d63adcd13c9ea7886b88,"SAINT-PIERRE-DU-PERRAY, FRANCE",Kid,5.851730150251271,405,399.1482698497487,117.33137931034476,105.33137931034476
Basket bébé ,12.0,NIKE,NOIR,21,https://www.vinted.fr/items/3554211743-basket-bebe?referrer=catalog,https://images1.vinted.net/t/03_02235_XeMMzTLkwehd7optYvSJ9gNM/310x430/1696264636.jpeg?s=877be94935413c5718383c509e0618d4ccf70c86,"NOYAL-SUR-VILAINE, FRANCE",Kid,59.62443433270579,405,345.3755656672942,117.33137931034476,105.33137931034476
Nike Air Force 1,12.0,NIKE,"BLANC, BLEU",27,https://www.vinted.fr/items/3414963728-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_01adc_zDoW6b4XKft7UteTSuUrD5no/310x430/1695816576.jpeg?s=1d3d7ef729f360e757805f82199d3680d86d966c,ITALIE,Kid,211.5912481093571,405,193.4087518906429,117.33137931034476,105.33137931034476
Air force 1 bébé ,12.0,NIKE,NOIR,19,https://www.vinted.fr/items/2975045249-air-force-1-bebe?referrer=catalog,https://images1.vinted.net/t/01_00d23_CPT2YdCGdPnKQMMW4rwyX7CC/310x430/1683108540.jpeg?s=d48cac29ef36e0472ec8a3210dd59c6b8d53b1e4,"PUTEAUX, FRANCE",Kid,1.799474013490773,405,403.2005259865092,117.33137931034476,105.33137931034476
Nike Air Force1,12.5,NIKE,"BLANC, ROUGE",23,https://www.vinted.fr/items/3864125178-nike-air-force1?referrer=catalog,https://images1.vinted.net/t/03_01ee1_sVVyT99ZkDVTBQHqyDfgnaxY/310x430/1702146912.jpeg?s=c5454faf229f8a9a913ba2807f60070e16585b73,"FERRAGUDA, PORTUGAL",Kid,,405,,117.33137931034476,104.83137931034476
Nike air force blanc Lila ,13.0,NIKE,"BLANC, LILA",18,https://www.vinted.fr/items/3876406813-nike-air-force-blanc-lila?referrer=catalog,https://images1.vinted.net/t/01_01c67_FLPCF8oMWohbfNpGsJsbg3uH/310x430/1702406438.jpeg?s=b72f5e58596e0aea85dcc3b88fe1d5f6dbfbecc1,FRANCE,Kid,50.58615778249138,405,354.4138422175086,117.33137931034476,104.33137931034476
Air Force 1 bebe,13.0,NIKE,BLANC,21,https://www.vinted.fr/items/3839577774-air-force-1-bebe?referrer=catalog,https://images1.vinted.net/t/03_01ba8_kmX2LMhJA85hXPMXGPfHzinb/310x430/1701605964.jpeg?s=651c6e52c65cdd8834692c19cdf4203c23949712,"MONTPELLIER, FRANCE",Kid,118.95161652537875,405,286.04838347462123,117.33137931034476,104.33137931034476
Nike air force 1 bébé ,13.0,NIKE,NOIR,19,https://www.vinted.fr/items/3462723489-nike-air-force-1-bebe?referrer=catalog,https://images1.vinted.net/t/01_00834_zq5RpXMVnxvwdyjExEJBR2i2/310x430/1694503899.jpeg?s=9595c7fa60f4197bf73763d1632b999573050ca2,FRANCE,Kid,50.58615778249138,405,354.4138422175086,117.33137931034476,104.33137931034476
