Title;Price;Brand;Color;Size;Link;Image Source;Localisation;Gender;Approximate Carbon Footprint (kg CO2);Approximative Carbon Print from Ordering on Nike (kg CO2/ton);Carbon Profit (kg CO2);Average price of the product on Nike;Profit Made;
Nike Blazer;10.0;NIKE;NOIR, BLEU;37.5;https://www.vinted.fr/items/1998351832-nike-blazer?referrer=catalog;https://images1.vinted.net/t/02_01834_Mszn797bQgLwBEUPbPMLJ8VL/310x430/1656447743.jpeg?s=573c506533e72f7beec45033c9f412841b884586;FRANCE;Women;50.58615778249138;405;354.4138422175086;88.6856756756756;78.6856756756756;
Nike Blazer ;10.0;NIKE;ROSE;38.5;https://www.vinted.fr/items/604631666-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_00ab0_3Jky8B6v54otoHK99DNvaDaU/310x430/1599651811.jpeg?s=7aae3daab63a07fd7acc1f126f8e1432d252da43;ANGERS, FRANCE;Women;53.01897788075528;405;351.9810221192447;88.6856756756756;78.6856756756756;
Nike blazer ;10.0;NIKE;NOIR;38.0;https://www.vinted.fr/items/2369306297-nike-blazer?referrer=catalog;https://images1.vinted.net/t/02_021bc_Y55tmFGk9zwdoL4phCDou97A/310x430/1667292773.jpeg?s=6de83a5bc2a5dee7d6d431563e2956117af22fb3;FRANCE;Women;50.58615778249138;405;354.4138422175086;88.6856756756756;78.6856756756756;
Nike blazer ;10.0;NIKE;NOIR, BEIGE;38.0;https://www.vinted.fr/items/279149962-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_00a35_4r1ECWjq6H9tBCo8efpxdBsf/310x430/1601526231.jpeg?s=5fb4eb30a5dbda3a70882a2b8aa269341cbdbe60;AURIAC-SUR-VENDINELLE, FRANCE;Women;118.82363051664844;405;286.17636948335155;88.6856756756756;78.6856756756756;
Nike blazer;10.0;NIKE;ROSE, MARINE;35.5;https://www.vinted.fr/items/477315679-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_00362_etR1mLBaxzWeFmYjDvabGcNs/310x430/1601169403.jpeg?s=ec6355a1f3f1d40e7cf3977c0b0f3cd789c12163;COURDIMANCHE, FRANCE;Women;6.520850903560826;405;398.4791490964392;88.6856756756756;78.6856756756756;
Nike Blazer ;10.0;NIKE;NOIR;35.5;https://www.vinted.fr/items/3159578605-nike-blazer?referrer=catalog;https://images1.vinted.net/t/03_00d97_gXjZe9n7bn75yJDxBpES2YG1/310x430/1687295624.jpeg?s=3841622357a483ba2e571d42dcb14c7218ec0676;SAINT-OUEN, FRANCE;Women;26.46336842487155;405;378.53663157512847;88.6856756756756;78.6856756756756;
Nike Blazer;10.0;NIKE;BLANC, BEIGE;42;https://www.vinted.fr/items/3394960462-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_01303_QJQraZ9cQqmqfhibYKtvMjPw/310x430/1693078514.jpeg?s=ba8b15baa53b6aa9e9108a4d84105eb1636c8292;SÃO DOMINGOS DE RANA, PORTUGAL;Men;293.1956899140816;405;111.80431008591842;88.6856756756756;78.6856756756756;
Nike blazer;10.0;NIKE;ROSE, BLEU;38.5;https://www.vinted.fr/items/87488568-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_02613_3SpuLXKVyFKT3ogzGohrSbyv/310x430/1602382698.jpeg?s=d2e197e9d7a73226dd9f3a38a1795598a731b2af;LE MANS, FRANCE;Women;37.06968150068427;405;367.9303184993157;88.6856756756756;78.6856756756756;
Nike blazer ;10.0;NIKE;GRIS, BLANC;40;https://www.vinted.fr/items/815919795-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_00b16_FAfefd8iXEJM2V1ajZB6ASdH/310x430/1609155087.jpeg?s=434b9794cd93d9dcd9a03be25c6a547c5eb5dd2a;BELGIQUE;Men;51.83360132251926;405;353.16639867748074;88.6856756756756;78.6856756756756;
Nike blazer;10.0;NIKE;NOIR, GRIS;38.0;https://www.vinted.fr/items/283609351-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_00b85_Tq9424RcvHXPLLTLDL1ghCiz/310x430/1602635309.jpeg?s=8f7160095092d71dc7c60b7fcd1d8daf20c09084;SARTROUVILLE, FRANCE;Women;3.4034198757990506;405;401.59658012420095;88.6856756756756;78.6856756756756;
